,code_7,ground_truth
2075,1230325,0.02726288107528976
2076,1230235,0.03821096717639037
2077,1230100,0.0684434271614558
2078,1230095,0.02254017726697185
2079,1230410,0.059570468491282745
2080,1230295,0.023291516509204243
2081,1230300,0.024722638875361188
2082,1230415,0.02236128697120223
2083,1230090,0.04400701275932599
2084,1230085,0.028515113145677083
2085,1230105,0.04003564819324047
2086,1230080,0.048157267621181124
2087,1230110,0.04833615791695074
2088,1230115,0.03928430895100808
2089,1230220,0.031627804292068434
2090,1230230,0.04915905327749098
2091,1230225,0.052164410246420566
2092,1230215,0.018783481055809875
2093,1230210,0.02314840427258855
2094,1230265,0.04211077562416804
2095,1230270,0.04268322457063082
2096,1230275,0.03119846758222135
2097,1230330,0.06286204993344371
2098,1230320,0.06028602967436122
2099,1230250,0.03420382455115093
2100,1230350,0.030160903866757568
2101,1230345,0.022325508912048306
2102,5216100,0.653257328990228
2103,5216015,0.6922475570032574
2104,5216030,0.461042345276873
2105,5216040,1.0677850162866451
2106,5216035,0.729869706840391
2107,5216095,0.7893811074918567
2108,5216010,0.5089250814332248
2109,5216075,0.46035830618892515
2110,5216060,0.5691205211726384
2111,5216005,0.6272638436482085
2112,5216050,1.0349511400651468
2113,5216055,0.3598045602605864
2114,5216070,0.32765472312703586
2115,5216080,0.6635179153094464
2116,5216045,0.3810097719869707
2117,5216065,0.7750162866449513
2118,5216025,0.7565472312703584
2119,5216085,0.3495439739413681
2120,5216020,0.589641693811075
2121,5216090,1.0130618892508145
2122,5203050,0.5282727907208615
2123,5203025,0.478182059888996
2124,5203010,0.5198251852836585
2125,5203005,0.4768732759480209
2126,5203015,0.9336388713483333
2127,5203020,1.2921266908172422
2128,5203065,0.30649340290471605
2129,5203060,0.3713376981621191
2130,5203055,0.3387370799960118
2131,5203040,0.40762670743461066
2132,5203035,0.5206580477915518
2133,5203030,0.4449865399315365
2134,5203045,0.5412416497723421
2135,5209005,0.1890330324563088
2136,5209010,0.5969464182830805
2137,5209015,0.46531207989245243
2138,5209085,1.0010332245054734
2139,5209030,0.6987334357595544
2140,5209065,1.2329239485308239
2141,5209070,1.0898098713270596
2142,5209060,1.2558834261570961
2143,5209025,1.2903226425965046
2144,5209045,1.3890483963894757
2145,5209035,1.007921067793355
2146,5209020,0.5012819281736124
2147,5209040,0.9329201075475322
2148,5209075,0.9130218936047628
2149,5209055,1.1525657768388706
2150,5209050,0.7186316497023237
2151,5209080,1.504611100441713
2152,5109045,1.4010420944558524
2153,5109050,1.8557109856262834
2154,5109040,0.5444994866529774
2155,5109005,0.8171432238193019
2156,5109010,1.0243839835728954
2157,5109015,1.5444558521560576
2158,5109020,2.212669404517454
2159,5109025,1.8769866529774129
2160,5109030,3.0999435318275155
2161,5109035,1.8147356262833678
2162,5109060,0.6288141683778234
2163,5109055,1.5996149897330596
2164,5115055,0.6983865600779126
2165,5115005,0.4754023454936493
2166,5115010,0.3429497220305969
2167,5115015,1.4239771943351052
2168,5115020,1.4681280688227893
2169,5115030,0.45221198717688593
2170,5115025,0.7505648662906301
2171,5115035,0.9681974597248711
2172,5115040,0.7202390131071704
2173,5115045,0.7255906342571927
2174,5115070,0.5177693462646593
2175,5115065,0.5391758308647486
2176,5115060,0.6743042649028121
2177,5115050,0.5525548837398044
2178,5115075,0.6805478229111716
2179,5121025,2.3624465583207552
2180,5121105,1.199444697953596
2181,5121005,1.411763838674576
2182,5121010,2.620715363824634
2183,5121045,1.3024353259152655
2184,5121050,3.086549896451262
2185,5121055,1.0837783003966444
2186,5121100,1.5622886026185545
2187,5121020,2.5399073326547086
2188,5121015,2.848879216539717
2189,5121030,1.7856990417354066
2190,5121035,0.8112492540980729
2191,5121040,1.3879967706834215
2192,5121075,1.6003159114044017
2193,5121080,1.2311341219418022
2194,5121085,1.5036631682403734
2195,5121110,1.8538313033100495
2196,5121120,3.5729825546702236
2197,5121065,1.825310821720664
2198,5121095,0.8476920916845098
2199,5121060,2.6032861806311205
2200,5121090,2.86630839973323
2201,5121070,1.64468110498789
2202,5121115,1.5876401418091193
2203,5130115,0.6274860470759525
2204,5130110,0.5057097791798107
2205,5130070,0.38167839521151825
2206,5130025,0.4448216452317399
2207,5130020,0.6201569198414625
2208,5130010,0.6973946453126264
2209,5130005,0.5637790180376931
2210,5130015,0.35630833939982204
2211,5130045,0.5806923885788239
2212,5130080,0.8772401520666505
2213,5130040,1.0057817681792445
2214,5130035,1.1467265226886678
2215,5130030,0.40422955593302595
2216,5130050,0.8276275984793335
2217,5130055,0.7644843484591118
2218,5130060,0.5835112836690124
2219,5130065,0.4639901318450214
2220,5130105,0.3320658416242013
2221,5130075,0.6675143573566287
2222,5130120,0.19224864515085335
2223,5130085,0.3687114777966513
2224,5130090,0.679917495753458
2225,5130100,0.38844374342797056
2226,5130095,0.4594798997007199
2227,1115280,0.0786029857565879
2228,1115285,0.12850237683095064
2229,1115330,0.07841986872512235
2230,1115335,0.09045981354398236
2231,1115205,0.13683420176263322
2232,1115275,0.0850120818578822
2233,1115340,0.041842241689878476
2234,1115325,0.05900946338977392
2235,1115290,0.039736395828024636
2236,1115270,0.047656207438909734
2237,1115210,0.06912667937824563
2238,1115190,0.04248315130000791
2239,1115090,0.05273770506207878
2240,1115085,0.05470621315033346
2241,1115005,0.07782473837285932
2242,1115200,0.06830265273665065
2243,1115195,0.06129842628309331
2244,1115230,0.060520178899364716
2245,1115080,0.04925848146423331
2246,1115075,0.06340427214494715
2247,1115105,0.08968156616025376
2248,1115100,0.11280009138277962
2249,1115185,0.16292837874647428
