gnd_id,urbanity
7112035,Rural
7166025,Rural
7166020,Rural
7115110,Rural
7127195,Rural
7154080,Rural
7157030,Rural
7160020,Rural
7115085,Rural
7163065,Rural
7154220,Rural
7139165,Rural
7151025,Rural
7121155,Rural
7166100,Rural
7151105,Rural
7160060,Rural
7139085,Rural
7145040,Rural
7127060,Rural
7148125,Rural
7130115,Rural
7109040,Rural
7148170,Rural
7112040,Rural
7160145,Rural
7121005,Rural
7160130,Rural
7142095,Rural
7127055,Rural
7154225,Rural
7160150,Rural
7154135,Rural
7151150,Rural
7139010,Rural
7151145,Rural
7148015,Rural
7127040,Rural
7109080,Rural
7163005,Rural
7124020,Rural
7163070,Rural
7118060,Rural
7109055,Rural
7154250,Rural
7160005,Rural
7163050,Rural
7118185,Rural
7130015,Rural
7118090,Rural
7151045,Rural
7145020,Rural
7124160,Rural
7130075,Rural
7151115,Rural
7154235,Rural
7118150,Rural
7148145,Rural
7151120,Rural
7151090,Rural
7118045,Rural
7124105,Rural
7106110,Rural
7136085,Rural
7154090,Rural
7160085,Rural
7139125,Rural
7139035,Rural
7160110,Rural
7139150,Rural
7124040,Rural
7121010,Rural
7118030,Rural
7130080,Rural
7166165,Rural
7160045,Rural
7115020,Rural
7106045,Rural
7109050,Rural
7109010,Rural
7121135,Rural
7166090,Rural
7115190,Rural
7121180,Rural
7118160,Rural
7130055,Rural
7109020,Rural
7142025,Rural
7127185,Rural
7127070,Rural
7109140,Rural
7130125,Rural
7148085,Rural
7163130,Rural
7121200,Rural
7163135,Rural
7163125,Rural
7151030,Rural
7115050,Rural
7106105,Rural
7118020,Rural
7130120,Rural
7139070,Rural
7133095,Rural
7151205,Rural
7166145,Rural
7112060,Rural
7157070,Rural
7166155,Rural
7157060,Rural
7160160,Rural
7121040,Rural
7106120,Rural
7118075,Rural
7124095,Rural
7121110,Rural
7118050,Rural
7154255,Rural
7145080,Rural
7136045,Rural
7115200,Rural
7151100,Rural
7115105,Rural
7154110,Rural
7154200,Rural
7148190,Rural
7160035,Rural
7163145,Rural
7124145,Rural
7166160,Rural
7115155,Rural
7142015,Rural
7148100,Rural
7121170,Rural
7118115,Rural
7115120,Rural
7154010,Rural
7118080,Rural
7103050,Rural
7127030,Rural
7127175,Rural
7145050,Rural
7166135,Rural
7145005,Rural
7154075,Rural
7163090,Rural
7115150,Rural
7145035,Rural
7133100,Rural
7142070,Rural
7139155,Rural
7127015,Rural
7166120,Rural
7124165,Rural
7121035,Rural
7127045,Rural
7109085,Rural
7142075,Rural
7124050,Rural
7154015,Rural
7136015,Rural
7139180,Rural
7115055,Rural
7109150,Rural
7145075,Rural
7124025,Rural
7136005,Rural
7106065,Rural
7115030,Rural
7118175,Rural
7124090,Rural
7148165,Rural
7154215,Rural
7121070,Rural
7151020,Rural
7112085,Rural
7142035,Rural
7127135,Rural
7151155,Rural
7160030,Rural
7109060,Rural
7154210,Rural
7133110,Rural
7106035,Rural
7121125,Rural
7154095,Rural
7112005,Rural
7157010,Rural
7121095,Rural
7148055,Rural
7118005,Rural
7130025,Rural
7127145,Rural
7127095,Rural
7118065,Rural
7115065,Rural
7103005,Rural
7151060,Rural
7145125,Rural
7133040,Rural
7154265,Rural
7112045,Rural
7115070,Rural
7145065,Rural
7115180,Rural
7148050,Rural
7124010,Rural
7148155,Rural
7148060,Rural
7121100,Rural
7121015,Rural
7109135,Rural
7154165,Rural
7136080,Rural
7121085,Rural
7127150,Rural
7127085,Rural
7136075,Rural
7103055,Rural
7127120,Rural
7145105,Rural
7115115,Rural
7139170,Rural
7163035,Rural
7127025,Rural
7103070,Rural
7166065,Rural
7121080,Rural
7127125,Rural
7106075,Rural
7124155,Rural
7148080,Rural
7151040,Rural
7112020,Rural
7139015,Rural
7139065,Rural
7130090,Rural
7124070,Rural
7166045,Rural
7160140,Rural
7163150,Rural
7151070,Rural
7151005,Rural
7166050,Rural
7112055,Rural
7121115,Rural
7154150,Rural
7109045,Rural
7148115,Rural
7115145,Rural
7151165,Rural
7139145,Rural
7154180,Rural
7145070,Rural
7148185,Rural
7154105,Rural
7166105,Rural
7109065,Rural
7139040,Rural
7166040,Rural
7121160,Rural
7142040,Rural
7166170,Rural
7121030,Rural
7127010,Rural
7133045,Rural
7148160,Rural
7142080,Rural
7130005,Rural
7121175,Rural
7166085,Rural
7166175,Rural
7148130,Rural
7142060,Rural
7121120,Rural
7118125,Rural
7133035,Rural
7139005,Rural
7142030,Rural
7154005,Rural
7148195,Rural
7127165,Rural
7136070,Rural
7121145,Rural
7121055,Rural
7157075,Rural
7148030,Rural
7115185,Rural
7145130,Rural
7109115,Rural
7127180,Rural
7148025,Rural
7118165,Rural
7112015,Rural
7160070,Rural
7106125,Rural
7121130,Rural
7109100,Rural
7139030,Rural
7148040,Rural
7136050,Rural
7127065,Rural
7130070,Rural
7103015,Rural
7103025,Rural
7151185,Rural
7166015,Rural
7112080,Rural
7106090,Rural
7151035,Rural
7151010,Rural
7115005,Rural
7160100,Rural
7121075,Rural
7106020,Rural
7139075,Rural
7136040,Rural
7136025,Rural
7133090,Rural
7127190,Rural
7151175,Rural
7106055,Rural
7148120,Rural
7166010,Rural
7157035,Rural
7121105,Rural
7157005,Rural
7154120,Rural
7142065,Rural
7160010,Rural
7166115,Rural
7154175,Rural
7136020,Rural
7160050,Rural
7145055,Rural
7133025,Rural
7130100,Rural
7109170,Rural
7139175,Rural
7154155,Rural
7124190,Rural
7142020,Rural
7139100,Rural
7151195,Rural
7145030,Rural
7157025,Rural
7124080,Rural
7139095,Rural
7115195,Rural
7166125,Rural
7118155,Rural
7154070,Rural
7163085,Rural
7154170,Rural
7112065,Rural
7139130,Rural
7121050,Rural
7127140,Rural
7154160,Rural
7139090,Rural
7118190,Rural
7115080,Rural
7127115,Rural
7163040,Rural
7145025,Rural
7124100,Rural
7109130,Rural
7154065,Rural
7151180,Rural
7115075,Rural
7121150,Rural
7157055,Rural
7136010,Rural
7109165,Rural
7118055,Rural
7124030,Rural
7145120,Rural
7109105,Rural
7103040,Rural
7139160,Rural
7139110,Rural
7124150,Rural
7106040,Rural
7166075,Rural
7157080,Rural
7145115,Rural
7145045,Rural
7142005,Rural
7154035,Rural
7124180,Rural
7130045,Rural
7124140,Rural
7151125,Rural
7151085,Rural
7151160,Rural
7139045,Rural
7109005,Rural
7124130,Rural
7115015,Rural
7160065,Rural
7142105,Rural
7154195,Rural
7106030,Rural
7166035,Rural
7127100,Rural
7127130,Rural
7151110,Rural
7118015,Rural
7133085,Urban
7115160,Urban
7130040,Urban
7133055,Urban
7133125,Urban
7133120,Urban
7115135,Urban
7115170,Urban
7133060,Urban
7133080,Urban
7115140,Urban
7133005,Urban
7133050,Urban
7115165,Urban
7133075,Urban
7133010,Urban
7133065,Urban
7115175,Urban
7115130,Urban
8133150,Rural
8124130,Rural
8136045,Rural
8115055,Rural
8118175,Rural
8142025,Rural
8118045,Rural
8136070,Rural
8118075,Rural
8142020,Rural
8118095,Rural
8124125,Rural
8119080,Rural
8142065,Rural
8118105,Rural
8112130,Rural
8124140,Rural
8124090,Rural
8142005,Rural
8115060,Rural
8136145,Rural
8119075,Rural
8118055,Rural
8124220,Rural
8115120,Rural
8127100,Rural
8139120,Rural
8109040,Rural
8119130,Rural
8118140,Rural
8119065,Rural
8136095,Rural
8121130,Rural
8136075,Rural
8133015,Rural
8130150,Rural
8136150,Rural
8124190,Rural
8139125,Rural
8124285,Rural
8119125,Rural
8130315,Rural
8121120,Rural
8127105,Rural
8118200,Rural
8130105,Rural
8118100,Rural
8130060,Rural
8127055,Rural
8118190,Rural
8124040,Rural
8118065,Rural
8119135,Rural
8119110,Rural
8142060,Rural
8119020,Rural
8127305,Rural
8118160,Rural
8118155,Rural
8124175,Rural
8121050,Rural
8119115,Rural
8139090,Rural
8142015,Rural
8118170,Rural
8133175,Rural
8118180,Rural
8127065,Rural
8142050,Rural
8142055,Rural
8121125,Rural
8124200,Rural
8119045,Rural
8136155,Rural
8136015,Rural
8118135,Rural
8139115,Rural
8124210,Rural
8139130,Rural
8119070,Rural
8119030,Rural
8130320,Rural
8127040,Rural
8142010,Rural
8112115,Rural
8112080,Rural
8136105,Rural
