,dsd_name,fit_wted
148,Kuliyapitiya West,0.09741536207281498
149,Kundasale,2.6356097274913126
150,Kurunegala,2.6520251948549367
151,Kuruwita,0.1259907673746744
152,Laggala-Pallegama,-4.728559025676622
153,Lahugala,-5.264944083358111
154,Lankapura,-1.6180777518863767
155,Lunugala,-1.7858516651492051
156,Lunugamvehera,-2.6293851758539013
157,Madampe,0.19818394331331307
158,Madhu,-5.559912490020415
159,Madulla,-4.283229619242133
160,Madurawala,0.8714888236009368
161,Maha Vilachchiya,-4.860717813795354
162,Mahakumbukkadawala,-2.867608143504762
163,Mahaoya,-4.741687064932922
164,Mahara,4.753639126317573
165,Maharagama,7.528753669170908
166,Mahawewa,0.7123527844883499
167,Mahiyanganaya,-1.8135741681175097
168,Maho,-1.6077091845199443
169,Malimbada,0.7937671638112859
