threshold,precision,recall
140,0.9,0.3165829145728643
280,0.7821428571428571,0.550251256281407
420,0.6452380952380953,0.6809045226130653
559,0.556350626118068,0.7814070351758794
699,0.4892703862660944,0.8592964824120602
839,0.43504171632896305,0.9170854271356784
979,0.3840653728294178,0.9447236180904522
1119,0.34316353887399464,0.964824120603015
1259,0.3073868149324861,0.9723618090452262
1398,0.27896995708154504,0.9798994974874372
1538,0.25617685305591675,0.9899497487437185
1678,0.2359952324195471,0.9949748743718593
1818,0.21782178217821782,0.9949748743718593
1958,0.20275791624106232,0.9974874371859297
2098,0.1892278360343184,0.9974874371859297
2238,0.177390527256479,0.9974874371859297
2377,0.16743794699200673,1.0
2517,0.15812475168851808,1.0
2657,0.14979299962363568,1.0
2797,0.14229531641043977,1.0
140,0.8857142857142857,0.30617283950617286
280,0.7321428571428571,0.5061728395061729
420,0.6428571428571429,0.6666666666666666
559,0.5778175313059034,0.7975308641975308
699,0.5078683834048641,0.8765432098765432
839,0.45172824791418353,0.9358024691358025
979,0.39938712972420837,0.9654320987654321
1119,0.3529937444146559,0.9753086419753086
1259,0.3145353455123114,0.9777777777777777
1398,0.28469241773962806,0.9827160493827161
1538,0.2607282184655397,0.9901234567901235
1678,0.2401668653158522,0.9950617283950617
1818,0.22167216721672167,0.9950617283950617
1958,0.20684371807967314,1.0
2098,0.19304099142040038,1.0
2238,0.18096514745308312,1.0
2377,0.17038283550694153,1.0
2517,0.16090584028605484,1.0
2657,0.15242754986827248,1.0
2797,0.14479799785484448,1.0
140,0.8928571428571429,0.32894736842105265
280,0.75,0.5526315789473685
420,0.6333333333333333,0.7
559,0.5438282647584973,0.8
699,0.47639484978540775,0.8763157894736842
839,0.42193087008343266,0.9315789473684211
979,0.3707865168539326,0.9552631578947368
1119,0.33065236818588023,0.9736842105263158
1259,0.2946783161239079,0.9763157894736842
1398,0.26680972818311877,0.9815789473684211
1538,0.24382314694408322,0.9868421052631579
1678,0.2234803337306317,0.9868421052631579
1818,0.2068206820682068,0.9894736842105263
1958,0.19356486210418794,0.9973684210526316
2098,0.18064823641563393,0.9973684210526316
2238,0.16934763181411974,0.9973684210526316
2377,0.15944467816575517,0.9973684210526316
2517,0.15097338100913787,1.0
2657,0.14301844185171245,1.0
2797,0.13585984983911334,1.0
140,0.9071428571428571,0.3182957393483709
280,0.7607142857142857,0.5338345864661654
420,0.6452380952380953,0.6791979949874687
559,0.5581395348837209,0.7819548872180451
699,0.4907010014306152,0.8596491228070176
839,0.43146603098927294,0.9072681704260651
979,0.38508682328907046,0.9448621553884712
1119,0.34405719392314565,0.9649122807017544
1259,0.3057982525814138,0.9649122807017544
1398,0.27968526466380544,0.9799498746867168
1538,0.25682704811443435,0.9899749373433584
1678,0.2359952324195471,0.9924812030075187
1818,0.21837183718371836,0.9949874686716792
1958,0.203779366700715,1.0
2098,0.19018112488083888,1.0
2238,0.17828418230563003,1.0
2377,0.16785864535128314,1.0
2517,0.15852205005959474,1.0
2657,0.15016936394429808,1.0
2797,0.142652842331069,1.0
140,0.8714285714285714,0.33516483516483514
280,0.7214285714285714,0.554945054945055
420,0.6238095238095238,0.7197802197802198
559,0.5277280858676208,0.8104395604395604
699,0.46208869814020026,0.8873626373626373
839,0.40405244338498214,0.9313186813186813
979,0.3564862104187947,0.9587912087912088
1119,0.3199285075960679,0.9835164835164835
1259,0.2851469420174742,0.9862637362637363
1398,0.2575107296137339,0.989010989010989
1538,0.23472041612483746,0.9917582417582418
1678,0.21573301549463647,0.9945054945054945
1818,0.19911991199119913,0.9945054945054945
1958,0.1853932584269663,0.9972527472527473
2098,0.17302192564346996,0.9972527472527473
2238,0.16219839142091153,0.9972527472527473
2377,0.15271350441733278,0.9972527472527473
2517,0.14421930870083433,0.9972527472527473
2657,0.13699661272111405,1.0
2797,0.1301394351090454,1.0
140,0.8857142857142857,0.31794871794871793
280,0.7428571428571429,0.5333333333333333
420,0.6285714285714286,0.676923076923077
559,0.556350626118068,0.7974358974358975
699,0.4864091559370529,0.8717948717948718
839,0.42550655542312277,0.9153846153846154
979,0.3769152196118488,0.9461538461538461
1119,0.3378016085790885,0.9692307692307692
1259,0.30103256552819696,0.9717948717948718
1398,0.2739628040057225,0.982051282051282
1538,0.25097529258777634,0.9897435897435898
1678,0.2306317044100119,0.9923076923076923
1818,0.21342134213421343,0.9948717948717949
1958,0.19867211440245147,0.9974358974358974
